Goa,Gujarat,Maharashtra,DNH,Rajasthan
13.6,327.6,434.1,18.6,237.6
12.2,326.9,425.1,18.8,240.4
10.0,322.7,386.3,18.6,220.9
10.0,321.8,382.6,18.6,218.1
10.5,305.1,367.1,17.3,201.3
11.6,331.7,392.3,18.2,218.1
11.6,340.4,402.8,18.6,225.8
11.6,344.5,403.7,18.7,239.7
11.6,354.4,403.8,18.7,242.6
12.1,284.8,388.4,17.7,212.7
12.7,289.3,395.1,17.6,215.9
12.7,293.8,400.2,18.0,218.6
12.7,285.2,397.7,18.1,207.9
12.6,285.4,387.1,17.9,210.7
12.2,292.8,389.0,17.9,215.6
12.2,287.8,378.3,17.5,211.3
11.1,317.1,435.0,17.9,225.1
11.1,327.0,443.0,18.1,225.9
11.1,330.1,441.4,18.4,226.0
11.1,336.8,443.0,18.4,233.0
12.1,337.4,439.5,18.4,228.5
9.9,332.8,442.2,18.2,227.1
9.5,325.8,429.6,17.9,217.2
10.8,326.3,408.3,18.2,229.6
11.7,332.1,421.6,18.4,239.7
12.3,327.1,424.1,18.3,234.3
12.3,320.1,414.1,18.5,226.4
12.3,320.1,400.0,18.3,234.3
12.3,314.9,389.6,18.1,229.4
12.3,301.0,381.5,18.0,227.8
12.3,390.7,500.4,17.6,261.8
12.3,394.8,495.4,17.6,268.1
12.0,387.9,492.8,17.5,271.3
11.9,395.0,494.2,17.6,270.4
11.9,400.8,485.7,17.5,275.2
11.9,398.1,472.7,17.4,271.0
11.9,387.1,461.6,17.1,264.9
9.4,289.9,414.1,6.0,187.7
10.5,294.1,416.5,6.7,171.6
10.6,294.8,421.3,7.3,185.3
10.4,300.2,431.5,7.5,178.8
10.6,303.6,427.2,7.6,192.5
10.6,304.0,428.6,7.9,208.7
10.4,302.8,432.1,7.8,214.8
9.5,332.1,459.1,18.4,245.1
10.0,333.9,464.5,18.0,249.0
10.0,332.6,464.8,18.1,250.3
9.8,337.0,463.7,18.2,251.7
9.6,337.3,452.7,17.9,249.7
9.6,333.9,449.6,18.0,247.4
8.3,318.9,428.1,17.7,243.3
12.4,330.3,437.4,18.2,210.4
12.4,331.3,439.8,18.5,217.5
12.4,330.8,445.8,18.8,220.4
12.4,336.3,449.6,18.9,222.7
12.5,331.9,441.9,18.7,225.4
12.3,325.8,434.6,18.6,223.2
12.3,312.0,421.6,18.2,219.8
8.8,289.7,369.2,17.4,203.2
8.8,297.9,395.5,18.3,212.6
8.8,296.8,395.5,18.7,225.5
10.2,288.7,399.6,18.5,225.7
